GradYear,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2017,20992997950264958,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.63,3.26
2017,20992997950264958,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,2.70,3.15
2017,6529035024656317635,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,3.60,3.66
2017,6529035024656317635,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,3.40,3.61
2018,1139783988297509771,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country1, ,3.45,3.11
2018,1139783988297509771,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country1, ,2.86,3.04
2017,1706585493974374124,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.88,3.79
2017,1706585493974374124,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.50,3.75
2019,2098270655652820308,2015-2016,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country2, ,3.50,3.50
2019,2098270655652820308,2015-2016,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country2, ,3.39,3.44
2019,2098270655652820308,2015-2016,B.Sc - Computer Science,Semester 3,2015-2016,Graduated,Male,Country2, ,3.00,3.39
2016,7310248804326252860,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.88,3.21
2016,7310248804326252860,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.33,3.28
2016,8798041882872913018,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.25,3.11
2016,8798041882872913018,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.50,3.15
2016,1920340583054464869,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.38,2.85
2016,1920340583054464869,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.13,2.88
2017,8231656484333674924,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.50,2.30
2017,4734017610266435524,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.38,3.27
